mpg,horsepower,regression_line
26.000000,46.000000,38.059191
26.000000,46.000000,38.059191
44.300000,48.000000,37.358153
43.400000,48.000000,37.358153
43.100000,48.000000,37.358153
29.000000,49.000000,37.011325
44.000000,52.000000,35.985609
32.800000,52.000000,35.985609
29.000000,52.000000,35.985609
31.000000,52.000000,35.985609
33.000000,53.000000,35.648625
33.000000,53.000000,35.648625
23.000000,54.000000,35.314103
39.100000,58.000000,34.000625
36.000000,58.000000,34.000625
38.100000,60.000000,33.358652
36.100000,60.000000,33.358652
24.500000,60.000000,33.358652
27.000000,60.000000,33.358652
35.100000,60.000000,33.358652
32.000000,61.000000,33.041357
37.700000,62.000000,32.726523
29.800000,62.000000,32.726523
30.500000,63.000000,32.414151
34.700000,63.000000,32.414151
38.000000,63.000000,32.414151
39.000000,64.000000,32.104239
34.100000,65.000000,31.796789
29.900000,65.000000,31.796789
37.000000,65.000000,31.796789
40.800000,65.000000,31.796789
31.800000,65.000000,31.796789
37.200000,65.000000,31.796789
46.600000,65.000000,31.796789
32.000000,65.000000,31.796789
31.000000,65.000000,31.796789
34.400000,65.000000,31.796789
36.100000,66.000000,31.491799
31.000000,67.000000,31.189271
31.000000,67.000000,31.189271
33.800000,67.000000,31.189271
32.300000,67.000000,31.189271
36.400000,67.000000,31.189271
44.600000,67.000000,31.189271
30.000000,67.000000,31.189271
30.000000,67.000000,31.189271
38.000000,67.000000,31.189271
26.000000,67.000000,31.189271
38.000000,67.000000,31.189271
32.000000,67.000000,31.189271
37.000000,68.000000,30.889204
31.000000,68.000000,30.889204
29.500000,68.000000,30.889204
31.500000,68.000000,30.889204
34.100000,68.000000,30.889204
30.000000,68.000000,30.889204
26.000000,69.000000,30.591598
35.000000,69.000000,30.591598
37.300000,69.000000,30.591598
39.400000,70.000000,30.296452
34.200000,70.000000,30.296452
26.000000,70.000000,30.296452
32.100000,70.000000,30.296452
34.500000,70.000000,30.296452
32.000000,70.000000,30.296452
29.000000,70.000000,30.296452
29.000000,70.000000,30.296452
33.500000,70.000000,30.296452
30.000000,70.000000,30.296452
36.000000,70.000000,30.296452
34.000000,70.000000,30.296452
25.000000,71.000000,30.003768
31.900000,71.000000,30.003768
31.500000,71.000000,30.003768
29.500000,71.000000,30.003768
27.200000,71.000000,30.003768
21.000000,72.000000,29.713545
32.400000,72.000000,29.713545
15.000000,72.000000,29.713545
15.000000,72.000000,29.713545
26.500000,72.000000,29.713545
22.000000,72.000000,29.713545
36.000000,74.000000,29.140483
33.000000,74.000000,29.140483
31.600000,74.000000,29.140483
31.300000,75.000000,28.857643
32.400000,75.000000,28.857643
32.200000,75.000000,28.857643
26.000000,75.000000,28.857643
29.000000,75.000000,28.857643
24.000000,75.000000,28.857643
24.000000,75.000000,28.857643
28.000000,75.000000,28.857643
36.000000,75.000000,28.857643
30.900000,75.000000,28.857643
26.000000,75.000000,28.857643
28.000000,75.000000,28.857643
33.700000,75.000000,28.857643
25.000000,75.000000,28.857643
41.500000,76.000000,28.577264
30.700000,76.000000,28.577264
22.000000,76.000000,28.577264
30.000000,76.000000,28.577264
25.400000,77.000000,28.299347
29.000000,78.000000,28.023890
18.000000,78.000000,28.023890
26.000000,78.000000,28.023890
23.000000,78.000000,28.023890
34.300000,78.000000,28.023890
30.500000,78.000000,28.023890
26.000000,79.000000,27.750895
28.000000,79.000000,27.750895
26.000000,80.000000,27.480360
28.000000,80.000000,27.480360
35.700000,80.000000,27.480360
25.000000,80.000000,27.480360
30.000000,80.000000,27.480360
27.400000,80.000000,27.480360
28.100000,80.000000,27.480360
24.000000,81.000000,27.212287
25.000000,81.000000,27.212287
31.000000,82.000000,26.946675
33.500000,83.000000,26.683524
23.000000,83.000000,26.683524
29.000000,83.000000,26.683524
27.000000,83.000000,26.683524
32.000000,84.000000,26.422834
30.000000,84.000000,26.422834
27.200000,84.000000,26.422834
26.600000,84.000000,26.422834
29.000000,84.000000,26.422834
36.000000,84.000000,26.422834
19.000000,85.000000,26.164604
17.600000,85.000000,26.164604
31.000000,85.000000,26.164604
20.200000,85.000000,26.164604
20.800000,85.000000,26.164604
21.000000,85.000000,26.164604
23.800000,85.000000,26.164604
19.800000,85.000000,26.164604
38.000000,85.000000,26.164604
23.000000,86.000000,25.908837
22.000000,86.000000,25.908837
28.000000,86.000000,25.908837
21.000000,86.000000,25.908837
27.000000,86.000000,25.908837
21.000000,87.000000,25.655530
25.000000,87.000000,25.655530
34.000000,88.000000,25.404684
19.000000,88.000000,25.404684
26.400000,88.000000,25.404684
27.000000,88.000000,25.404684
20.200000,88.000000,25.404684
35.000000,88.000000,25.404684
20.000000,88.000000,25.404684
28.000000,88.000000,25.404684
27.000000,88.000000,25.404684
18.000000,88.000000,25.404684
24.500000,88.000000,25.404684
25.100000,88.000000,25.404684
22.300000,88.000000,25.404684
27.000000,88.000000,25.404684
18.000000,88.000000,25.404684
36.000000,88.000000,25.404684
27.000000,88.000000,25.404684
23.000000,88.000000,25.404684
19.000000,88.000000,25.404684
25.500000,89.000000,25.156299
21.000000,90.000000,24.910375
28.000000,90.000000,24.910375
19.400000,90.000000,24.910375
33.500000,90.000000,24.910375
28.400000,90.000000,24.910375
24.000000,90.000000,24.910375
29.800000,90.000000,24.910375
27.000000,90.000000,24.910375
19.100000,90.000000,24.910375
19.000000,90.000000,24.910375
24.300000,90.000000,24.910375
23.900000,90.000000,24.910375
20.000000,90.000000,24.910375
28.000000,90.000000,24.910375
20.200000,90.000000,24.910375
27.000000,90.000000,24.910375
26.000000,90.000000,24.910375
18.000000,90.000000,24.910375
28.000000,90.000000,24.910375
22.500000,90.000000,24.910375
20.000000,91.000000,24.666913
28.000000,92.000000,24.425911
25.800000,92.000000,24.425911
25.000000,92.000000,24.425911
24.000000,92.000000,24.425911
37.000000,92.000000,24.425911
26.000000,92.000000,24.425911
26.000000,93.000000,24.187371
22.000000,94.000000,23.951291
25.000000,95.000000,23.717673
20.000000,95.000000,23.717673
22.000000,95.000000,23.717673
23.000000,95.000000,23.717673
18.000000,95.000000,23.717673
19.000000,95.000000,23.717673
23.000000,95.000000,23.717673
21.100000,95.000000,23.717673
20.500000,95.000000,23.717673
24.000000,95.000000,23.717673
17.500000,95.000000,23.717673
27.500000,95.000000,23.717673
25.000000,95.000000,23.717673
24.000000,95.000000,23.717673
24.000000,96.000000,23.486516
25.500000,96.000000,23.486516
32.000000,96.000000,23.486516
24.000000,97.000000,23.257820
18.000000,97.000000,23.257820
27.200000,97.000000,23.257820
23.000000,97.000000,23.257820
19.000000,97.000000,23.257820
24.000000,97.000000,23.257820
18.000000,97.000000,23.257820
22.000000,97.000000,23.257820
23.900000,97.000000,23.257820
18.500000,98.000000,23.031585
22.000000,98.000000,23.031585
18.000000,100.000000,22.586498
20.500000,100.000000,22.586498
19.000000,100.000000,22.586498
20.000000,100.000000,22.586498
19.000000,100.000000,22.586498
23.700000,100.000000,22.586498
19.000000,100.000000,22.586498
16.000000,100.000000,22.586498
19.000000,100.000000,22.586498
32.900000,100.000000,22.586498
16.000000,100.000000,22.586498
15.000000,100.000000,22.586498
18.000000,100.000000,22.586498
22.000000,100.000000,22.586498
18.000000,100.000000,22.586498
17.000000,100.000000,22.586498
20.000000,100.000000,22.586498
20.000000,102.000000,22.151255
20.300000,103.000000,21.937325
20.500000,105.000000,21.516849
23.200000,105.000000,21.516849
19.200000,105.000000,21.516849
22.000000,105.000000,21.516849
16.000000,105.000000,21.516849
18.000000,105.000000,21.516849
16.000000,105.000000,21.516849
26.600000,105.000000,21.516849
27.900000,105.000000,21.516849
18.000000,105.000000,21.516849
18.000000,105.000000,21.516849
20.600000,105.000000,21.516849
21.000000,107.000000,21.106217
19.000000,108.000000,20.904593
22.400000,110.000000,20.508727
15.000000,110.000000,20.508727
17.000000,110.000000,20.508727
20.000000,110.000000,20.508727
21.000000,110.000000,20.508727
17.000000,110.000000,20.508727
17.500000,110.000000,20.508727
20.600000,110.000000,20.508727
18.600000,110.000000,20.508727
25.000000,110.000000,20.508727
18.500000,110.000000,20.508727
21.500000,110.000000,20.508727
19.900000,110.000000,20.508727
16.000000,110.000000,20.508727
18.000000,110.000000,20.508727
23.500000,110.000000,20.508727
24.000000,110.000000,20.508727
21.500000,110.000000,20.508727
22.000000,112.000000,20.122706
19.000000,112.000000,20.122706
18.000000,112.000000,20.122706
26.000000,113.000000,19.933387
21.500000,115.000000,19.562132
21.600000,115.000000,19.562132
26.800000,115.000000,19.562132
28.800000,115.000000,19.562132
25.000000,115.000000,19.562132
25.400000,116.000000,19.380196
15.500000,120.000000,18.677064
18.100000,120.000000,18.677064
16.500000,120.000000,18.677064
24.200000,120.000000,18.677064
20.000000,122.000000,18.340264
17.000000,125.000000,17.853523
23.000000,125.000000,17.853523
19.200000,125.000000,17.853523
13.000000,129.000000,17.238989
17.600000,129.000000,17.238989
18.000000,130.000000,17.091508
17.000000,130.000000,17.091508
15.000000,130.000000,17.091508
13.000000,130.000000,17.091508
13.000000,130.000000,17.091508
32.700000,132.000000,16.803930
16.200000,133.000000,16.663832
18.200000,135.000000,16.391020
14.000000,137.000000,16.128052
16.500000,138.000000,16.000260
20.200000,139.000000,15.874929
18.100000,139.000000,15.874929
13.000000,140.000000,15.752059
19.400000,140.000000,15.752059
17.500000,140.000000,15.752059
16.000000,140.000000,15.752059
17.000000,140.000000,15.752059
14.000000,140.000000,15.752059
17.500000,140.000000,15.752059
15.500000,142.000000,15.513702
13.000000,145.000000,15.174625
15.500000,145.000000,15.174625
19.200000,145.000000,15.174625
17.500000,145.000000,15.174625
15.000000,145.000000,15.174625
13.000000,145.000000,15.174625
15.000000,145.000000,15.174625
14.000000,148.000000,14.857697
16.000000,149.000000,14.756977
14.000000,150.000000,14.658717
13.000000,150.000000,14.658717
15.000000,150.000000,14.658717
14.000000,150.000000,14.658717
13.000000,150.000000,14.658717
16.000000,150.000000,14.658717
13.000000,150.000000,14.658717
16.000000,150.000000,14.658717
18.000000,150.000000,14.658717
14.000000,150.000000,14.658717
11.000000,150.000000,14.658717
15.000000,150.000000,14.658717
14.000000,150.000000,14.658717
13.000000,150.000000,14.658717
17.000000,150.000000,14.658717
18.500000,150.000000,14.658717
15.000000,150.000000,14.658717
15.000000,150.000000,14.658717
16.000000,150.000000,14.658717
14.000000,150.000000,14.658717
15.000000,150.000000,14.658717
14.000000,150.000000,14.658717
14.500000,152.000000,14.469582
14.000000,153.000000,14.378706
14.000000,153.000000,14.378706
13.000000,155.000000,14.204337
16.900000,155.000000,14.204337
13.000000,158.000000,13.961241
14.000000,160.000000,13.811483
12.000000,160.000000,13.811483
14.000000,165.000000,13.480156
17.700000,165.000000,13.480156
15.000000,165.000000,13.480156
13.000000,165.000000,13.480156
12.000000,167.000000,13.364853
15.500000,170.000000,13.210356
15.000000,170.000000,13.210356
13.000000,170.000000,13.210356
13.000000,170.000000,13.210356
16.000000,170.000000,13.210356
14.000000,175.000000,13.002083
13.000000,175.000000,13.002083
13.000000,175.000000,13.002083
14.000000,175.000000,13.002083
13.000000,175.000000,13.002083
12.000000,180.000000,12.855336
16.000000,180.000000,12.855336
16.500000,180.000000,12.855336
11.000000,180.000000,12.855336
12.000000,180.000000,12.855336
15.500000,190.000000,12.746423
15.000000,190.000000,12.746423
13.000000,190.000000,12.746423
9.000000,193.000000,12.761740
12.000000,198.000000,12.836490
15.000000,198.000000,12.836490
10.000000,200.000000,12.883618
11.000000,208.000000,13.170571
11.000000,210.000000,13.266919
14.000000,215.000000,13.550861
13.000000,215.000000,13.550861
10.000000,215.000000,13.550861
14.000000,220.000000,13.896328
14.000000,225.000000,14.303323
14.000000,225.000000,14.303323
12.000000,225.000000,14.303323
16.000000,230.000000,14.771845
